model,kanal,id,url,topic_manual,topic2_manual,topic_ai,tone_manual,tone_ai,reason_ai,seconds
gemma4:26b,Tasnimnews,424439,https://t.me/Tasnimnews/424439,diplomacy,,diplomacy,neutral,neutral,The post reports on a specific detail regarding the conduct of the US-Iran nuclear negotiations in Geneva.,26.6
gemma4:26b,Tasnimnews,440045,https://t.me/Tasnimnews/440045,domestic_politics,,domestic_politics,neutral,neutral,"The post focuses on the psychological trauma and financial struggles of families affected by the Shajareh Tayyebeh school strike, highlighting the lack of government aid.",6.1
gemma4:26b,Tasnimnews,400268,https://t.me/Tasnimnews/400268,ideology_propaganda,domestic_politics,domestic_politics,threatening,neutral,"The post reports on a pro-government nightly rally (قرار شبانه) in a city square, which is a domestic political event.",3.6
gemma4:26b,Tasnimnews,389772,https://t.me/Tasnimnews/389772,mourning_commemoration,,mourning_commemoration,neutral,neutral,The post features an image and description of a deceased military figure (Mahmoud Bagheri) and his military expertise.,5.5
gemma4:26b,Tasnimnews,409301,https://t.me/Tasnimnews/409301,resistance_axis,,resistance_axis,neutral,neutral,"The post discusses Israeli military plans in southern Lebanon, which falls under the resistance_axis topic as it concerns the war involving Hezbollah/Lebanon.",4.9
gemma4:26b,Tasnimnews,387209,https://t.me/Tasnimnews/387209,foreign_affairs,,foreign_affairs,neutral,neutral,The post reports on a planned diplomatic visit by the Chinese President to the United States.,5.0
gemma4:26b,Tasnimnews,385717,https://t.me/Tasnimnews/385717,domestic_politics,economy,domestic_politics,neutral,neutral,"The post discusses a member of the Economic Commission questioning the Minister of Industry, Mine and Trade regarding delays in urea barter processes and their economic impact.",6.3
gemma4:26b,Tasnimnews,385217,https://t.me/Tasnimnews/385217,domestic_politics,,domestic_politics,accusatory,accusatory,The post reports on a court proceeding regarding the death of a police officer caused by rioters during protests.,4.2
gemma4:26b,Tasnimnews,411339,https://t.me/Tasnimnews/411339,mourning_commemoration,,mourning_commemoration,neutral,neutral,The post commemorates the anniversary of the martyrdom of a person (Shiroudi) and includes his voice/images.,4.5
gemma4:26b,Tasnimnews,439631,https://t.me/Tasnimnews/439631,diplomacy,domestic_politics,diplomacy,neutral,neutral,"The main statement is about the President's comments regarding the nature of a recent agreement (likely the Islamabad Memorandum), which falls under foreign policy/diplomacy.",5.2
gemma4:26b,Tasnimnews,408140,https://t.me/Tasnimnews/408140,other,,other,neutral,neutral,The post reports on FIFA President Infantino's statement regarding Iran's participation in the 2026 World Cup.,5.9
gemma4:26b,Tasnimnews,415257,https://t.me/Tasnimnews/415257,diplomacy,,diplomacy,neutral,neutral,The post reports on a meeting between an Iranian official and a foreign official regarding international cooperation.,4.3
gemma4:26b,Tasnimnews,436718,https://t.me/Tasnimnews/436718,domestic_politics,diplomacy,domestic_politics,neutral,neutral,The post reports on the President's statements regarding external pressures and sanctions facing the government.,5.3
gemma4:26b,Tasnimnews,424689,https://t.me/Tasnimnews/424689,resistance_axis,,resistance_axis,neutral,neutral,The post reports on Hezbollah's drone attack on an Israeli military command center.,4.2
gemma4:26b,Tasnimnews,391479,https://t.me/Tasnimnews/391479,foreign_affairs,,foreign_affairs,neutral,neutral,"The post reports on security forces in Pakistan shooting at mourners of the late Supreme Leader, which is an event in another country.",4.0
gemma4:26b,Tasnimnews,438176,https://t.me/Tasnimnews/438176,resistance_axis,,resistance_axis,mobilizing,accusatory,The post features Hezbollah's Secretary-General criticizing the Lebanese government and accusing the US/Israel of aggression and deception.,5.5
gemma4:26b,Tasnimnews,441571,https://t.me/Tasnimnews/441571,foreign_affairs,resistance_axis,resistance_axis,neutral,neutral,"The post reports on Israeli minister Ben-Gvir's provocative actions at Al-Aqsa Mosque, which is part of the resistance axis context.",4.2
gemma4:26b,Tasnimnews,386587,https://t.me/Tasnimnews/386587,ideology_propaganda,,ideology_propaganda,triumphant,neutral,The post features the Minister of Sports making political statements about the resilience of the Islamic Republic against enemy conspiracies.,5.6
gemma4:26b,Tasnimnews,387726,https://t.me/Tasnimnews/387726,ideology_propaganda,,military,accusatory,accusatory,"The post explicitly labels the US President and Netanyahu as 'real terrorists', which is an accusatory statement.",3.1
gemma4:26b,Tasnimnews,415143,https://t.me/Tasnimnews/415143,military,,military,accusatory,accusatory,The post accuses Saudi Arabia and Kuwait of cooperating with the US and Israel in military aggression against Iraq.,4.1
gemma4:26b,Tasnimnews,396631,https://t.me/Tasnimnews/396631,military,,military,triumphant,triumphant,The post reports on the IRGC's successful interception and destruction of US and Israeli drones during the ongoing war.,5.7
gemma4:26b,Tasnimnews,420787,https://t.me/Tasnimnews/420787,other,,other,neutral,neutral,The post is a brief announcement about the cleaning and washing of a shrine in preparation for the month of Muharram.,3.9
gemma4:26b,Tasnimnews,410500,https://t.me/Tasnimnews/410500,diplomacy,,diplomacy,neutral,neutral,"The post analyzes Trump's negotiation tactics and behavior regarding ceasefire talks, framing his actions as desperate rather than strategic.",5.5
gemma4:26b,Tasnimnews,387118,https://t.me/Tasnimnews/387118,military,,military,neutral,neutral,"The post reports on American analysts' views regarding Iran's missile capabilities, which is a military matter.",3.4
gemma4:26b,Tasnimnews,440199,https://t.me/Tasnimnews/440199,economy,diplomacy,economy,neutral,neutral,The post discusses the Central Bank Governor's response to US economic sanctions and the availability of foreign currency.,4.5
gemma4:26b,farsna,450860,https://t.me/farsna/450860,domestic_politics,,domestic_politics,neutral,neutral,The post reports on President Pezeshkian's comments regarding the unprecedented cohesion between the branches of government.,6.3
gemma4:26b,farsna,426845,https://t.me/farsna/426845,diplomacy,foreign_affairs,foreign_affairs,neutral,neutral,The post reports on CNN's analysis of Trump's contradictory statements regarding the Strait of Hormuz.,3.8
gemma4:26b,farsna,443732,https://t.me/farsna/443732,resistance_axis,,resistance_axis,neutral,neutral,"The post reports on the deaths of seven people, including a child, due to Israeli attacks in Lebanon.",4.4
gemma4:26b,farsna,453577,https://t.me/farsna/453577,military,,military,neutral,neutral,"The post reports on the destruction/burning of drone hangars and military fuel tanks at a base, which is a military event.",3.3
gemma4:26b,farsna,418311,https://t.me/farsna/418311,military,,military,neutral,neutral,"The post reports on Iranian missiles hitting Abu Dhabi, which is part of the war involving Iran and the Gulf states.",3.5
