kanal,id,url,datum,topic_manual,topic2_manual,tone_manual
Tasnimnews,424439,https://t.me/Tasnimnews/424439,2026-06-21 13:15:16+00:00,diplomacy,,neutral
Tasnimnews,440045,https://t.me/Tasnimnews/440045,2026-08-23 13:19:09+00:00,domestic_politics,,neutral
Tasnimnews,400268,https://t.me/Tasnimnews/400268,2026-03-23 21:29:02+00:00,ideology_propaganda,domestic_politics,threatening
Tasnimnews,389772,https://t.me/Tasnimnews/389772,2026-02-24 10:46:45+00:00,mourning_commemoration,,neutral
Tasnimnews,409301,https://t.me/Tasnimnews/409301,2026-04-20 17:34:49+00:00,resistance_axis,,neutral
Tasnimnews,387209,https://t.me/Tasnimnews/387209,2026-02-09 03:52:07+00:00,foreign_affairs,,neutral
Tasnimnews,385717,https://t.me/Tasnimnews/385717,2026-01-31 05:54:13+00:00,domestic_politics,economy,neutral
Tasnimnews,385217,https://t.me/Tasnimnews/385217,2026-01-27 11:10:08+00:00,domestic_politics,,accusatory
Tasnimnews,411339,https://t.me/Tasnimnews/411339,2026-04-28 12:43:13+00:00,mourning_commemoration,,neutral
Tasnimnews,439631,https://t.me/Tasnimnews/439631,2026-08-21 11:29:31+00:00,diplomacy,domestic_politics,neutral
Tasnimnews,408140,https://t.me/Tasnimnews/408140,2026-04-16 06:09:32+00:00,other,,neutral
Tasnimnews,415257,https://t.me/Tasnimnews/415257,2026-05-14 07:41:41+00:00,diplomacy,,neutral
Tasnimnews,436718,https://t.me/Tasnimnews/436718,2026-08-06 18:36:23+00:00,domestic_politics,diplomacy,neutral
Tasnimnews,424689,https://t.me/Tasnimnews/424689,2026-06-22 11:28:08+00:00,resistance_axis,,neutral
Tasnimnews,391479,https://t.me/Tasnimnews/391479,2026-03-02 12:01:49+00:00,foreign_affairs,,neutral
Tasnimnews,438176,https://t.me/Tasnimnews/438176,2026-08-14 15:53:52+00:00,resistance_axis,,mobilizing
Tasnimnews,441571,https://t.me/Tasnimnews/441571,2026-08-31 13:31:43+00:00,foreign_affairs,resistance_axis,neutral
Tasnimnews,386587,https://t.me/Tasnimnews/386587,2026-02-05 06:53:08+00:00,ideology_propaganda,,triumphant
Tasnimnews,387726,https://t.me/Tasnimnews/387726,2026-02-11 07:58:44+00:00,ideology_propaganda,,accusatory
Tasnimnews,415143,https://t.me/Tasnimnews/415143,2026-05-13 20:18:35+00:00,military,,accusatory
Tasnimnews,396631,https://t.me/Tasnimnews/396631,2026-03-13 20:42:12+00:00,military,,triumphant
Tasnimnews,420787,https://t.me/Tasnimnews/420787,2026-06-07 07:17:19+00:00,other,,neutral
Tasnimnews,410500,https://t.me/Tasnimnews/410500,2026-04-25 11:02:12+00:00,diplomacy,,neutral
Tasnimnews,387118,https://t.me/Tasnimnews/387118,2026-02-08 13:15:50+00:00,military,,neutral
Tasnimnews,440199,https://t.me/Tasnimnews/440199,2026-08-24 10:23:20+00:00,economy,diplomacy,neutral
farsna,450860,https://t.me/farsna/450860,2026-07-18 10:35:25+00:00,domestic_politics,,neutral
farsna,426845,https://t.me/farsna/426845,2026-04-05 21:29:01+00:00,diplomacy,foreign_affairs,neutral
farsna,443732,https://t.me/farsna/443732,2026-06-21 14:23:07+00:00,resistance_axis,,neutral
farsna,453577,https://t.me/farsna/453577,2026-07-30 12:58:12+00:00,military,,neutral
farsna,418311,https://t.me/farsna/418311,2026-03-11 01:17:23+00:00,military,,neutral
farsna,449806,https://t.me/farsna/449806,2026-07-14 01:41:39+00:00,economy,foreign_affairs,accusatory
farsna,408369,https://t.me/farsna/408369,2026-01-19 10:01:50+00:00,domestic_politics,,neutral
farsna,431084,https://t.me/farsna/431084,2026-04-23 21:50:11+00:00,ideology_propaganda,,triumphant
farsna,448815,https://t.me/farsna/448815,2026-07-09 18:18:55+00:00,other,,neutral
farsna,430121,https://t.me/farsna/430121,2026-04-19 17:34:52+00:00,foreign_affairs,,neutral
farsna,421766,https://t.me/farsna/421766,2026-03-19 20:23:30+00:00,mourning_commemoration,,neutral
farsna,447376,https://t.me/farsna/447376,2026-07-06 04:23:30+00:00,mourning_commemoration,,neutral
farsna,443069,https://t.me/farsna/443069,2026-06-18 16:42:13+00:00,foreign_affairs,,neutral
farsna,440606,https://t.me/farsna/440606,2026-06-08 02:31:43+00:00,military,,neutral
farsna,452509,https://t.me/farsna/452509,2026-07-25 16:34:52+00:00,domestic_politics,,neutral
farsna,414654,https://t.me/farsna/414654,2026-03-02 22:32:26+00:00,foreign_affairs,military,accusatory
farsna,412101,https://t.me/farsna/412101,2026-02-17 06:09:38+00:00,domestic_politics,,accusatory
farsna,426266,https://t.me/farsna/426266,2026-04-03 17:43:17+00:00,military,,neutral
farsna,442395,https://t.me/farsna/442395,2026-06-15 20:30:53+00:00,military,resistance_axis,threatening
farsna,454547,https://t.me/farsna/454547,2026-08-04 22:21:21+00:00,foreign_affairs,,neutral
farsna,432280,https://t.me/farsna/432280,2026-04-29 05:33:17+00:00,economy,,neutral
farsna,416887,https://t.me/farsna/416887,2026-03-08 08:56:02+00:00,military,diplomacy,accusatory
farsna,428494,https://t.me/farsna/428494,2026-04-12 03:50:26+00:00,military,foreign_affairs,accusatory
farsna,458129,https://t.me/farsna/458129,2026-08-25 07:50:18+00:00,economy,,neutral
farsna,424058,https://t.me/farsna/424058,2026-03-26 19:59:40+00:00,domestic_politics,,neutral
iribnews,356242,https://t.me/iribnews/356242,2026-08-13 14:39:01+00:00,domestic_politics,economy,neutral
iribnews,318585,https://t.me/iribnews/318585,2026-03-04 02:34:24+00:00,military,,neutral
iribnews,329247,https://t.me/iribnews/329247,2026-04-04 15:01:11+00:00,military,,triumphant
iribnews,339084,https://t.me/iribnews/339084,2026-05-15 11:15:15+00:00,diplomacy,,neutral
iribnews,320271,https://t.me/iribnews/320271,2026-03-08 07:27:57+00:00,domestic_politics,,neutral
iribnews,353675,https://t.me/iribnews/353675,2026-07-27 18:17:55+00:00,economy,diplomacy,threatening
iribnews,313750,https://t.me/iribnews/313750,2026-02-02 15:42:27+00:00,domestic_politics,,neutral
iribnews,350290,https://t.me/iribnews/350290,2026-07-08 23:21:34+00:00,mourning_commemoration,,neutral
iribnews,337487,https://t.me/iribnews/337487,2026-05-07 16:32:51+00:00,economy,,neutral
iribnews,329525,https://t.me/iribnews/329525,2026-04-05 13:10:09+00:00,other,economy,neutral
iribnews,344063,https://t.me/iribnews/344063,2026-06-09 08:38:31+00:00,other,,neutral
iribnews,329437,https://t.me/iribnews/329437,2026-04-05 06:53:16+00:00,military,,triumphant
iribnews,357781,https://t.me/iribnews/357781,2026-08-23 17:51:02+00:00,economy,,neutral
iribnews,358956,https://t.me/iribnews/358956,2026-08-31 11:03:54+00:00,foreign_affairs,,neutral
iribnews,347981,https://t.me/iribnews/347981,2026-06-30 07:55:04+00:00,mourning_commemoration,,neutral
iribnews,315925,https://t.me/iribnews/315925,2026-02-18 06:19:13+00:00,domestic_politics,,neutral
iribnews,357169,https://t.me/iribnews/357169,2026-08-19 18:04:31+00:00,other,,neutral
iribnews,335302,https://t.me/iribnews/335302,2026-04-27 11:47:01+00:00,foreign_affairs,,neutral
iribnews,354020,https://t.me/iribnews/354020,2026-07-29 14:18:33+00:00,domestic_politics,,neutral
iribnews,353086,https://t.me/iribnews/353086,2026-07-23 20:04:01+00:00,diplomacy,,threatening
iribnews,352073,https://t.me/iribnews/352073,2026-07-18 07:58:01+00:00,military,,neutral
iribnews,327680,https://t.me/iribnews/327680,2026-03-31 00:00:20+00:00,military,foreign_affairs,neutral
iribnews,333345,https://t.me/iribnews/333345,2026-04-18 10:51:02+00:00,diplomacy,military,triumphant
iribnews,349202,https://t.me/iribnews/349202,2026-07-05 09:02:55+00:00,mourning_commemoration,,neutral
iribnews,329787,https://t.me/iribnews/329787,2026-04-06 08:22:54+00:00,diplomacy,,neutral
irna_1313,390281,https://t.me/irna_1313/390281,2026-02-19 06:39:01+00:00,other,,neutral
irna_1313,418067,https://t.me/irna_1313/418067,2026-06-17 12:18:01+00:00,economy,,neutral
irna_1313,420907,https://t.me/irna_1313/420907,2026-06-24 16:15:05+00:00,other,,neutral
irna_1313,389625,https://t.me/irna_1313/389625,2026-02-15 09:43:01+00:00,domestic_politics,,neutral
irna_1313,446034,https://t.me/irna_1313/446034,2026-08-30 19:34:11+00:00,foreign_affairs,,neutral
irna_1313,415696,https://t.me/irna_1313/415696,2026-06-11 17:38:13+00:00,other,,neutral
irna_1313,389097,https://t.me/irna_1313/389097,2026-02-11 13:21:36+00:00,ideology_propaganda,,neutral
irna_1313,405007,https://t.me/irna_1313/405007,2026-05-08 08:31:20+00:00,other,,neutral
irna_1313,443511,https://t.me/irna_1313/443511,2026-08-23 15:57:30+00:00,domestic_politics,,neutral
irna_1313,443117,https://t.me/irna_1313/443117,2026-08-22 20:01:14+00:00,domestic_politics,diplomacy,mobilizing
irna_1313,386139,https://t.me/irna_1313/386139,2026-01-07 07:30:11+00:00,economy,,neutral
irna_1313,421393,https://t.me/irna_1313/421393,2026-06-25 16:15:07+00:00,other,,neutral
irna_1313,404884,https://t.me/irna_1313/404884,2026-05-07 14:51:58+00:00,other,,neutral
irna_1313,428159,https://t.me/irna_1313/428159,2026-07-12 04:28:15+00:00,military,,neutral
irna_1313,406101,https://t.me/irna_1313/406101,2026-05-12 07:31:34+00:00,other,,neutral
irna_1313,439115,https://t.me/irna_1313/439115,2026-08-11 09:33:42+00:00,domestic_politics,,neutral
irna_1313,426137,https://t.me/irna_1313/426137,2026-07-07 05:40:02+00:00,mourning_commemoration,ideology_propaganda,neutral
irna_1313,412493,https://t.me/irna_1313/412493,2026-06-02 21:39:54+00:00,resistance_axis,,neutral
irna_1313,418220,https://t.me/irna_1313/418220,2026-06-17 20:02:19+00:00,economy,diplomacy,neutral
irna_1313,403042,https://t.me/irna_1313/403042,2026-04-30 16:00:56+00:00,domestic_politics,,neutral
